query,citing_pmid,citing_abstract,ground_truth_title,confirmed_protocol_ids,self_return_position,ground_truth_link,exact_match_position,top1_title,top1_sts_title_only,top1_sts_title_plus_desc,top1_sts_vs_source_paper,best_sts_title_only,best_sts_title_plus_desc,best_sts_vs_source_paper,best_sts_position,best_sts_title
How does TMEM127 loss affect RET receptor endocytosis and surface accumulation to drive constitutive signaling in pheochromocytoma cells?,37425958,"Internalization from the cell membrane and endosomal trafficking of receptor tyrosine kinases (RTK) are important regulators of signaling in normal cells that can frequently be disrupted in cancer. The adrenal tumour pheochromocytoma (PCC) can be caused by activating mutations of the RET receptor tyrosine kinase, or inactivation of TMEM127, a transmembrane tumour suppressor implicated in trafficking of endosomal cargos. However, the role of aberrant receptor trafficking in PCC is not well understood. Here, we show that loss of TMEM127 causes wildtype RET protein accumulation on the cell surface, where increased receptor density facilitates constitutive ligand-independent activity and downstream signaling, driving cell proliferation. Loss of TMEM127 altered normal cell membrane organization and recruitment and stabilization of membrane protein complexes, impaired assembly, and maturation of clathrin coated pits, and reduced internalization and degradation of cell surface RET. In addition to RTKs, TMEM127 depletion also promoted surface accumulation of several other transmembrane proteins, suggesting it may cause global defects in surface protein activity and function. Together, our data identify TMEM127 as an important determinant of membrane organization including membrane protein diffusability, and protein complex assembly and provide a novel paradigm for oncogenesis in PCC where altered membrane dynamics promotes cell surface accumulation and constitutive activity of growth factor receptors to drive aberrant signaling and promote transformation.",Evaluating Cell Membrane Localization and Intracellular Transport of Proteins by Biotinylation,256618,2,https://www.protocols.io/view/evaluating-cell-membrane-localization-and-intracel-h6uib9euf,0,Loss of tumor suppressor TMEM127 drives RET-mediated transformation through disrupted membrane dynamics.,0.308,0.3969,0.9802,0.308,0.3969,0.9802,1,Loss of tumor suppressor TMEM127 drives RET-mediated transformation through disrupted membrane dynamics.
"How does GABA inhibition of vasopressin neurons in the supraoptic nucleus change in bile duct-ligated cirrhotic rats, and does intracellular chloride dysregulation contribute?",37337093,"Dilutional hyponatremia due to increased plasma arginine vasopressin (AVP) is associated with liver cirrhosis. However, plasma AVP remains elevated despite progressive hypoosmolality. This study investigated changes to inhibitory control of supraoptic nucleus (SON) AVP neurons during liver cirrhosis. Experiments were conducted with adult male Sprague–Dawley rats. Bile duct ligation was used as a model of chronic liver cirrhosis. An adeno‐associated virus containing a construct with an AVP promoter and either green fluorescent protein (GFP) or a ratiometric chloride indicator, ClopHensorN, was bilaterally injected into the SON of rats. After 2 weeks, rats received either BDL or sham surgery, and liver cirrhosis was allowed to develop for 4 weeks. In vitro, loose patch recordings of action potentials were obtained from GFP‐labeled and unlabeled SON neurons in response to a brief focal application of the GABAA agonist muscimol (100 μM). Changes to intracellular chloride ([Cl]i) following muscimol application were determined by changes to the fluorescence ratio of ClopHensorN. The contribution of cation chloride cotransporters NKCC1 and KCC2 to changes in intracellular chloride was investigated using their respective antagonists, bumetanide (BU, 10 μM) and VU0240551 (10 μM). Plasma osmolality and hematocrit were measured as a marker of dilutional hyponatremia. The results showed reduced or absent GABAA‐mediated inhibition in a greater proportion of AVP neurons from BDL rats as compared to sham rats (100% inhibition in sham vs. 47% in BDL, p = .001). Muscimol application was associated with increased [Cl]i in most cells from BDL as compared to cells from sham rats (χ2 = 30.24, p < .001). NKCC1 contributed to the impaired inhibition observed in BDL rats (p < .001 BDL − BU vs. BDL + BU). The results show that impaired inhibition of SON AVP neurons and increased intracellular chloride contribute to the sustained dilutional hyponatremia in liver cirrhosis.",A suitable microsurgical method for obstructive cholestasis in the rat,121261,1,https://www.protocols.io/view/a-suitable-microsurgical-method-for-obstructive-ch-d2nm8dc6,2,A suitable microsurgical method for obstructive cholestasis in the rat,1.0,0.9907,0.3498,1.0,0.9907,0.3498,2,A suitable microsurgical method for obstructive cholestasis in the rat
How does SRPK1-mediated protamine phosphorylation trigger protamine-to-histone exchange and chromatin reprogramming in fertilized mouse oocytes?,32169215,"SUMMARY The paternal genome undergoes massive exchange of histone with protamine for compaction into sperm during spermiogenesis. Upon fertilization, this process is potently reversed, which is essential for parental genome reprogramming and subsequent activation; however, it remains poorly understood how this fundamental process is initiated and regulated. Here, we report that the previously characterized splicing kinase SRPK1 initiates this life-beginning event by catalyzing site-specific phosphorylation of protamine, thereby triggering protamine-to-histone exchange in the fertilized oocyte. Interestingly, protamine undergoes a DNA-dependent phase transition to gel-like condensates and SRPK1-mediated phosphorylation likely helps open up such structures to enhance protamine dismissal by nucleoplasmin (NPM2) and enable the recruitment of HIRA for H3.3 deposition. Remarkably, genome-wide ATAC-seq analysis reveals that selective chromatin accessibility in both sperm and MII oocytes is largely erased in early pronuclei in a protamine phosphorylation-dependent manner, suggesting that SRPK1-catalyzed phosphorylation initiates a highly synchronized reorganization program in both parental genomes.",siRNA-mediated depletion of stable proteins in mouse oocytes,121580,1,https://www.protocols.io/view/sirna-mediated-depletion-of-stable-proteins-in-mou-d2yk8fuw,8,In vitro kinase assay,0.2,0.1922,0.3254,1.0,0.99,0.4789,8,siRNA-mediated depletion of stable proteins in mouse oocytes
Does the C. elegans gustatory receptor LITE-1 function as both a photoreceptor and chemoreceptor for diacetyl avoidance behavior?,42539119,"The nematode C. elegans does not have eyes but can respond to aversive UV and blue light stimulation and even distinguish colours. The gustatory receptor homolog LITE-1 was identified in forward genetic screens for worms that failed to respond to blue light stimulation. When LITE-1 is expressed in body-wall muscles, it causes contraction in response to blue light suggesting that LITE-1 is both necessary and sufficient for blue light response. Here we show that in addition to light avoidance, LITE-1 is also required for worms’ avoidance of high concentrations of diacetyl, an odorant that is attractive at low concentrations. Like blue light, diacetyl causes muscle contraction in transgenic worms engineered to express LITE-1 in body-wall muscles. These data are consistent with a direct chemoreceptor function for LITE-1 which would make it a multimodal sensor of aversive stimuli.",Bleach synchronisation of C. elegans,22617,1,https://www.protocols.io/view/bleach-synchronisation-of-c-elegans-2bzgap6,0,Histamine-HisCl1 system for C elegans,0.5501,0.4994,0.5247,0.9553,0.7856,0.4593,9,Bleaching – Synchronization C. elegans
Standardizing cell-free microRNA profiling from serum or plasma using spike-in controls and Two-tailed RT-qPCR to assess RNA isolation quality and inhibition in liquid biopsy workflows.,30862831,"Circulating cell-free microRNAs are promising candidates for minimally invasive clinical biomarkers for the diagnosis, prognosis and monitoring of many human diseases. Despite substantial efforts invested in the field, the research so far has failed to deliver expected results. One of the contributing factors is general lack of agreement between various studies, partly due to the considerable technical challenges accompanying the workflow. Pre-analytical variables including sample collection, RNA isolation, and quantification are sources of bias that may hamper biological interpretation of the results. Here, we present a Two-tailed RT-qPCR panel for quality control, monitoring of technical performance, and optimization of microRNA profiling experiments from biofluid samples. The Two-tailed QC (quality control) panel is based on two sets of synthetic spike-in molecules and three endogenous microRNAs that are quantified with the highly specific Two-tailed RT-qPCR technology. The QC panel is a cost-effective way to assess quality of isolated microRNA, degree of inhibition, and erythrocyte contamination to ensure technical soundness of the obtained results. We provide assay sequences, detailed experimental protocol and guide to data interpretation. The application of the QC panel is demonstrated on the optimization of RNA isolation from biofluids with the miRNeasy Serum/Plasma Advanced Kit (Qiagen).",Serum Collection Procedure (Small Scale) for the analysis of extracellular RNA,121717,1,https://www.protocols.io/view/serum-collection-procedure-small-scale-for-the-ana-d24v8gw6,0,Quantification of circulating microRNA using single TaqMan assays,0.5469,0.5439,0.69,0.5737,0.6004,0.5132,4,Isolation of exosomal RNA from serum or plasma using the Qiagen miRNeasy Micro kit
How does proline-to-serine tRNA mistranslation differentially affect gene expression in male versus female Drosophila using RNA-seq transcriptomics?,38989890,"Mistranslation is the misincorporation of an amino acid into a polypeptide. Mistranslation has diverse effects on multicellular eukaryotes and is implicated in several human diseases. In Drosophila melanogaster, a serine transfer RNA (tRNA) that misincorporates serine at proline codons (P→S) affects male and female flies differently. The mechanisms behind this discrepancy are currently unknown. Here, we compare the transcriptional response of male and female flies to P→S mistranslation to identify genes and cellular processes that underlie sex-specific differences. Both males and females downregulate genes associated with various metabolic processes in response to P→S mistranslation. Males downregulate genes associated with extracellular matrix organization and response to negative stimuli such as wounding, whereas females downregulate aerobic respiration and ATP synthesis genes. Both sexes upregulate genes associated with gametogenesis, but females also upregulate cell cycle and DNA repair genes. These observed differences in the transcriptional response of male and female flies to P→S mistranslation have important implications for the sex-specific impact of mistranslation on disease and tRNA therapeutics. ARTICLE SUMMARY Proline-to-serine mistranslation affects male and female flies differently, but the mechanisms underlying this discrepancy are unknown. We present a transcriptomic analysis of male and female flies showing that mistranslation disrupts metabolic pathways and gametogenesis in both sexes, whereas processes such as DNA repair and cell cycle regulation are affected only in one sex. This is the first analysis that characterizes sex-specific effects of mistranslation and provides intriguing avenues for future research to understand how mistranslation affects males and females.",RNA Extraction from Drosophila Tissues using TRIzol Reagent,3315,1,https://www.protocols.io/view/RNA-Extraction-from-Drosophila-Tissues-using-TRIzo-fgtbjwn,0,Impact of tRNA-induced proline-to-serine mistranslation on the transcriptome of Drosophila melanogaster.,0.4481,0.3709,0.9976,0.8522,0.7832,0.4032,7,Genomic RNA extraction by TRIzol method by using Drosophila melanogaster  gut
Find tumor-specific mutation-derived splice junctions from RNA-seq data in melanoma patients to identify neoantigen candidates for immunotherapy.,38863673,"Splicing is dysregulated in many tumors and may result in tumor-specific transcripts that can encode neoantigens, which are promising targets for cancer immunotherapy. Detecting tumor-specific splicing is challenging because many non-canonical splice junctions identified in tumor transcriptomes also appear in healthy tissues. Here, we developed splice2neo to integrate the predicted splice effects from somatic mutations with splice junctions detected in tumor RNA-seq for individual cancer patients. Splice2neo excludes splice junctions from healthy tissue samples, annotates resulting transcript and peptide sequences, and provides targeted re-quantification of supporting RNA-seq reads. We developed a stringent detection rule to predict splice junctions as mutation-derived targets and identified 1.7 target splice junctions per tumor with a false discovery rate below 5% in a melanoma cohort. We confirmed tumor-specificity using independent, healthy tissue samples. Furthermore, using tumor-derived RNA, we confirmed individual exon skipping events experimentally. Most target splice junctions encoded neoepitope candidates with predicted MHC-I or MHC-II binding. Compared to neoepitope candidates derived from non-synonymous point mutations, the splicing-derived MHC-I neoepitope candidates had a lower self-similarity to corresponding wild-type peptides. In conclusion, we demonstrate that identifying mutation-derived and tumor-specific splice junctions can lead to additional neoantigen candidates to expand the target repertoire for cancer immunotherapies. Key Points splice2neo is a versatile tool for identifying and analyzing of splice junctions as a source of neoantigen candidates We identified mutation-retrieved splice junctions supported by RNA-seq in melanoma samples The predicted target splice junctions exhibited a strong tumor-specificity as they were absent in healthy tissues. Target splice junctions often lead to frame-shift peptides and encode promising neoantigen candidates",Alternative Splicing Analysis,11534,1,https://www.protocols.io/view/alternative-splicing-analysis-phndj5e,3,Bulk RNA sequencing (mRNA seq),0.3649,0.3507,0.2808,1.0,1.0,0.6087,3,Alternative Splicing Analysis
Map mouse primary motor cortex cell types using single-cell RNA-seq and epigenomics to build a multimodal reference atlas of neuronal and non-neuronal populations.,34616066,"Single-cell transcriptomics can provide quantitative molecular signatures for large, unbiased samples of the diverse cell types in the brain1–3. With the proliferation of multi-omics datasets, a major challenge is to validate and integrate results into a biological understanding of cell-type organization. Here we generated transcriptomes and epigenomes from more than 500,000 individual cells in the mouse primary motor cortex, a structure that has an evolutionarily conserved role in locomotion. We developed computational and statistical methods to integrate multimodal data and quantitatively validate cell-type reproducibility. The resulting reference atlas—containing over 56 neuronal cell types that are highly replicable across analysis methods, sequencing technologies and modalities—is a comprehensive molecular and genomic account of the diverse neuronal and non-neuronal cell types in the mouse primary motor cortex. The atlas includes a population of excitatory neurons that resemble pyramidal cells in layer 4 in other cortical regions4. We further discovered thousands of concordant marker genes and gene regulatory elements for these cell types. Our results highlight the complex molecular regulation of cell types in the brain and will directly enable the design of reagents to target specific cell types in the mouse primary motor cortex for functional analysis. The authors describe an integrated atlas of the diverse cell types in the mouse primary motor cortex.",Extraction of Nuclei from Brain Tissue,11605,2,https://www.protocols.io/view/extraction-of-nuclei-from-brain-tissue-2srged6,8,A multimodal cell census and atlas of the mammalian primary motor cortex.,0.2442,0.4025,0.7751,0.579,0.6025,0.427,10,Tissue Dissociation and Nuclei Isolation
"Standardized methods for isolating and analyzing extracellular RNA from biofluids including best practices for biofluid collection, particle separation, and exRNA profiling across different vesicle types.",26320937,"Extracellular RNAs (exRNAs) have been identified in all tested biofluids and have been associated with a variety of extracellular vesicles, ribonucleoprotein complexes and lipoprotein complexes. Much of the interest in exRNAs lies in the fact that they may serve as signalling molecules between cells, their potential to serve as biomarkers for prediction and diagnosis of disease and the possibility that exRNAs or the extracellular particles that carry them might be used for therapeutic purposes. Among the most significant bottlenecks to progress in this field is the lack of robust and standardized methods for collection and processing of biofluids, separation of different types of exRNA-containing particles and isolation and analysis of exRNAs. The Sample and Assay Standards Working Group of the Extracellular RNA Communication Consortium is a group of laboratories funded by the U.S. National Institutes of Health to develop such methods. In our first joint endeavour, we held a series of conference calls and in-person meetings to survey the methods used among our members, placed them in the context of the current literature and used our findings to identify areas in which the identification of robust methodologies would promote rapid advancements in the exRNA field.",Isolation of extracellular vesicle RNA from serum,121622,0,https://www.protocols.io/view/isolation-of-extracellular-vesicle-rna-from-serum-d2zw8f7e,10,Isolation of extracellular vesicles and RNA from serum or plasma using the ExoRNeasy Mini Kit.,0.7991,0.8087,0.7253,1.0,1.0,0.664,10,Isolation of extracellular vesicle RNA from serum
Map protein-protein interactions among Arabidopsis transcription factors using a high-throughput yeast two-hybrid sequencing approach.,28650476,"Broad-scale protein–protein interaction mapping is a major challenge given the cost, time, and sensitivity constraints of existing technologies. Here, we present a massively multiplexed yeast two-hybrid method, CrY2H-seq, which uses a Cre recombinase interaction reporter to intracellularly fuse the coding sequences of two interacting proteins and next-generation DNA sequencing to identify these interactions en masse. We applied CrY2H-seq to investigate sparsely annotated Arabidopsis thaliana transcription factors interactions. By performing ten independent screens testing a total of 36 million binary interaction combinations, and uncovering a network of 8,577 interactions among 1,453 transcription factors, we demonstrate CrY2H-seq′s improved screening capacity, efficiency, and sensitivity over those of existing technologies. The deep-coverage network resource we call AtTFIN-1 recapitulates one-third of previously reported interactions derived from diverse methods, expands the number of known plant transcription factor interactions by three-fold, and reveals previously unknown family-specific interaction module associations with plant reproductive development, root architecture, and circadian coordination.",CrY2H-seq interactome screening,121906,2,https://www.protocols.io/view/cry2h-seq-interactome-screening-d3as8iee,3,E3 decoy library high-throughput yeast two-hybrid screening assay,0.4039,0.4922,0.486,1.0,0.9981,0.9054,3,CrY2H-seq interactome screening
Engineering yeast to produce vinblastine precursors vindoline and catharanthine from scratch using heterologous plant genes expressed in Saccharomyces cerevisiae.,36045295,"Monoterpene indole alkaloids (MIAs) are a diverse family of complex plant secondary metabolites with many medicinal properties, including the essential anti-cancer therapeutics vinblastine and vincristine1. As MIAs are difficult to chemically synthesize, the world’s supply chain for vinblastine relies on low-yielding extraction and purification of the precursors vindoline and catharanthine from the plant Catharanthus roseus, which is then followed by simple in vitro chemical coupling and reduction to form vinblastine at an industrial scale2,3. Here, we demonstrate the de novo microbial biosynthesis of vindoline and catharanthine using a highly engineered yeast, and in vitro chemical coupling to vinblastine. The study showcases a very long biosynthetic pathway refactored into a microbial cell factory, including 30 enzymatic steps beyond the yeast native metabolites geranyl pyrophosphate and tryptophan to catharanthine and vindoline. In total, 56 genetic edits were performed, including expression of 34 heterologous genes from plants, as well as deletions, knock-downs and overexpression of ten yeast genes to improve precursor supplies towards de novo production of catharanthine and vindoline, from which semisynthesis to vinblastine occurs. As the vinblastine pathway is one of the longest MIA biosynthetic pathways, this study positions yeast as a scalable platform to produce more than 3,000 natural MIAs and a virtually infinite number of new-to-nature analogues. De novo microbial biosynthesis of vindoline and catharanthine using a highly engineered yeast and in vitro chemical coupling to vinblastine is carried out, positioning yeast as a scalable platform to produce many monoterpene indole alkaloids.",Chloroform-Methanol Protein Extraction with Zymolyase Treatment for Yeast (High Throughput),36887,2,https://www.protocols.io/view/chloroform-methanol-protein-extraction-with-zymoly-bhptj5nn,0,Expressing genes in Saccharomyces cerevisiae,0.2867,0.3135,0.2119,0.4355,0.4287,0.1845,8,Liquid Growth Medium - Yeast
Multiplex RT-qPCR assay to rapidly distinguish Omicron subvariants of SARS-CoV-2 in clinical samples without whole genome sequencing.,36555794,"Whole genome sequencing (WGS) is considered the best instrument to track both virus evolution and the spread of new, emerging variants. However, WGS still does not allow the analysis of as many samples as qPCR does. Epidemiological and clinical research needs to develop advanced qPCR methods to identify emerging variants of SARS-CoV-2 while collecting data on their spreading in a faster and cheaper way, which is critical for introducing public health measures. This study aimed at designing a one-step RT-qPCR assay for multiplex detection of the Omicron lineage and providing additional data on its subvariants in clinical samples. The RT-qPCR assay demonstrated high sensitivity and specificity on multiple SARS-CoV-2 variants and was cross-validated by WGS.",One-step RT-PCR Ins214EPE assay for Omicron (B.1.1.529) variant detection,"199148,55889",2,https://www.protocols.io/view/one-step-rt-pcr-ins214epe-assay-for-omicron-b-1-1-b2trqem6,0, SARS-CoV-2 Omicron detection RT-qPCR assay with BA.1 and BA.2/BA.3 differentitation,0.5746,0.7364,0.8122,0.5746,0.7364,0.8122,1, SARS-CoV-2 Omicron detection RT-qPCR assay with BA.1 and BA.2/BA.3 differentitation
How did the FDA use wastewater sequencing to track SARS-CoV-2 variant prevalence across US communities during the COVID-19 pandemic using next-generation sequencing?,38819130,"ABSTRACT Wastewater surveillance has emerged as a crucial public health tool for population-level pathogen surveillance. Supported by funding from the American Rescue Plan Act of 2021, the FDA‘s genomic epidemiology program, GenomeTrakr, was leveraged to sequence SARS-CoV-2 from wastewater sites across the United States. This initiative required the evaluation, optimization, development, and publication of new methods and analytical tools spanning sample collection through variant analyses. Version-controlled protocols for each step of the process were developed and published on protocols.io. A custom data analysis tool and a publicly accessible dashboard were built to facilitate real-time visualization of the collected data, focusing on the relative abundance of SARS-CoV-2 variants and sub-lineages across different samples and sites throughout the project. From September 2021 through June 2023, a total of 3,389 wastewater samples were collected, with 2,517 undergoing sequencing and submission to NCBI under the umbrella BioProject, PRJNA757291. Sequence data were released with explicit quality control (QC) tags on all sequence records, communicating our confidence in the quality of data. Variant analysis revealed wide circulation of Delta in the fall of 2021 and captured the sweep of Omicron and subsequent diversification of this lineage through the end of the sampling period. This project successfully achieved two important goals for the FDA’s GenomeTrakr program: first, contributing timely genomic data for the SARS-CoV-2 pandemic response, and second, establishing both capacity and best practices for culture-independent, population-level environmental surveillance for other pathogens of interest to the FDA. IMPORTANCE This paper serves two primary objectives. First, it summarizes the genomic and contextual data collected during a Covid-19 pandemic response project, which utilized the FDA’s laboratory network, traditionally employed for sequencing foodborne pathogens, for sequencing SARS-CoV-2 from wastewater samples. Second, it outlines best practices for gathering and organizing population-level next generation sequencing (NGS) data collected for culture-free, surveillance of pathogens sourced from environmental samples. This paper serves two primary objectives. First, it summarizes the genomic and contextual data collected during a Covid-19 pandemic response project, which utilized the FDA’s laboratory network, traditionally employed for sequencing foodborne pathogens, for sequencing SARS-CoV-2 from wastewater samples. Second, it outlines best practices for gathering and organizing population-level next generation sequencing (NGS) data collected for culture-free, surveillance of pathogens sourced from environmental samples.",RNA Extraction from Wastewater Concentrates Using RNeasy and Zymo Kits,"53258,53350,53493",0,https://www.protocols.io/view/rna-extraction-from-wastewater-concentrates-using-bygvptw6,0,SARS-CoV-2 Whole Genome Amplicon Sequencing from Wastewater Solids or Liquid Wastewater ,0.405,0.6976,0.7584,0.2961,0.7977,0.8169,7,RT-qPCR Detection of SARS-CoV-2 from Wastewater Using the AB 7500
How does microglial DISC1 knockout affect synaptic pruning and spatial memory in mice through actin cytoskeletal dysregulation?,40880479,"Synaptic dysfunction is a hallmark of neurodevelopmental disorders (NDDs), often linked to genes involved in cytoskeletal regulation. While the role of these genes has been extensively studied in neurons, microglial functions such as phagocytosis are also dependent on cytoskeletal dynamics. We demonstrate that disturbance of actin cytoskeletal regulation in microglia, modeled by genetically impairing the scaffold protein Disrupted-in-Schizophrenia 1 (DISC1), which integrates actin-binding proteins, causes a shift in actin regulatory balance favoring filopodial versus lamellipodial actin organization. The resulting microglia-specific dysregulation of actin dynamics leads to excessive uptake of synaptic proteins. Genetically engineered DISC1-deficient mice show diminished hippocampal excitatory transmission and associated spatial memory deficits. Reintroducing wild-type microglia-like cells via bone marrow transplantation in adult DISC1-deficient mice restores the synaptic function of neurons and rescues cognitive performance. These findings reveal a pivotal role for microglial actin cytoskeletal remodeling in preserving synaptic integrity and cognitive health. Targeting microglial cytoskeletal dynamics may effectively address cognitive impairments associated with NDDs, even in adulthood.",An easy and fast way to obtain a high number of glial cells from rat cerebral tissue: A beginners approach.,161270,1,https://www.protocols.io/view/an-easy-and-fast-way-to-obtain-a-high-number-of-gl-d2qw8dxe,0,"Primary murine microglia, neurons and co-cultures ",0.5098,0.6301,0.401,0.5098,0.6301,0.401,2,"Primary murine microglia, neurons and co-cultures "
Detecting mosquito salivary protein-specific IgE in human serum using a capture ELISA to avoid IgG interference and improve sensitivity for diagnosing Aedes aegypti bite allergy.,40875780,"Mosquito saliva contains numerous distinct mosquito salivary proteins (MSPs) that mediate mosquito-host interactions. Repeated mosquito exposure can trigger allergic reactions, with MSP-specific IgE playing a central role. Current enzyme-linked immunosorbent assay (ELISA) and immunoblotting methods for detecting MSP-specific IgE suffer from interference by much more abundant MSP-specific IgG, leading to low sensitivity. Here, we developed a capture ELISA to overcome these limitations. We compared the performance of this capture ELISA with the conventional indirect ELISA in detecting MSP-specific IgE titers in sera from both repeatedly exposed mice and human volunteers. The results demonstrated that, compared to the indirect ELISA, the novel capture ELISA exhibited significantly superior sensitivity and specificity. Using serum samples from 20 volunteers with confirmed exposure to Aedes aegypti bites and 20 volunteers without such exposure, we found that the capture ELISA achieved 100% diagnostic sensitivity and specificity (20/20), with both false-positive and false-negative rates at 0% (0/20). The limit of detection was determined to be 87.42 ng/mL total IgE equivalent in human serum. Furthermore, we dynamically monitored Aedes aegypti salivary protein AAEL000749-specific IgE titers in healthy individuals from areas with widespread mosquito distribution using the capture ELISA. The results showed that both the positive rate and titer of AAEL000749-specific IgE in the sera were significantly higher during months with elevated mosquito population densities, compared to months with lower densities. This indicates that, under natural exposure conditions, the levels of MSP-specific IgE in human sera are closely correlated with local mosquito densities. In summary, our novel capture ELISA demonstrates excellent diagnostic performance and can be used for the quantitative analysis of MSP-specific IgE in mammalian sera. This provides a powerful tool for the diagnosis and prognosis of mosquito allergy, as well as for monitoring mosquito exposure levels in endemic areas.",Enzyme-Linked Immunosorbent Assay (ELISA),211793,1,https://www.protocols.io/view/enzyme-linked-immunosorbent-assay-elisa-gs3rbwgm7,6,S2_Capture ELISA to detect for IgM antibodies against 2019-nCoV protein,0.4824,0.3093,0.3237,1.0,0.9874,0.5618,6,Enzyme-Linked Immunosorbent Assay (ELISA)
One-step CRISPR-Cpf1 and AAV system for knocking in CAR constructs while simultaneously knocking out checkpoint genes in human T cells.,30804551,"Immune-cell engineering opens new capabilities for fundamental immunology research and immunotherapy. We developed a system for efficient generation of chimeric antigen receptor (CAR)-engineered T cells (CAR-T cells) with considerably enhanced features by streamlined genome engineering. By leveraging trans-activating CRISPR (clustered regularly interspaced short palindromic repeats) RNA (tracrRNA)-independent CRISPR–Cpf1 systems with adeno-associated virus (AAV), we were able to build a stable CAR-T cell with homology-directed-repair knock-in and immune-checkpoint knockout (KIKO CAR-T cell) at high efficiency in one step. The modularity of the AAV–Cpf1 KIKO system enables flexible and highly efficient generation of double knock-in of two different CARs in the same T cell. Compared with Cas9-based methods, the AAV–Cpf1 system generates double-knock-in CAR-T cells more efficiently. CD22-specific AAV–Cpf1 KIKO CAR-T cells have potency comparable to that of Cas9 CAR-T cells in cytokine production and cancer cell killing, while expressing lower levels of exhaustion markers. This versatile system opens new capabilities of T-cell engineering with simplicity and precision. Cpf1-mediated genome editing of CAR-T cells enables efficient multiple targeting, knocking in chimeric antigen receptors while removing immune-checkpoint genes.",Rapid modular CAR-T generation with CRISPR/Cpf1 and AAV systems,122091,1,https://www.protocols.io/view/rapid-modular-car-t-generation-with-crispr-cpf1-an-d3gj8jun,0,Efficient generation of locus-specific human CAR-T cells with CRISPR/cCas12a.,0.6992,0.7615,0.7616,0.7712,0.8685,0.7974,3,High-efficiency of genetic modification using CRISPR/Cpf1 system for engineered CAR-T cell therapy.
Draft genome assembly and annotation of the Australian banjo frog Limnodynastes dumerilii to serve as a reference for amphibian phylogenomics.,36824594,"Amphibian genomes are usually challenging to assemble due to large genome size and high repeat content. The Limnodynastidae is a family of frogs native to Australia, Tasmania and New Guinea. As an anuran lineage that successfully diversified on the Australian continent, it represents an important lineage in the amphibian tree of life but lacks reference genomes. Here we sequenced and annotated the genome of the eastern banjo frog Limnodynastes dumerilii dumerilii to fill this gap. The total length of the genome assembly is 2.38 Gb with a scaffold N50 of 285.9 kb. We identified 1.21 Gb of non-redundant sequences as repetitive elements and annotated 24,548 protein-coding genes in the assembly. BUSCO assessment indicated that more than 94% of the expected vertebrate genes were present in the genome assembly and the gene set. We anticipate that this annotated genome assembly will advance the future study of anuran phylogeny and amphibian genome evolution.",Construction and sequencing of DNA libraries on Hiseq 2000 platform for the eastern banjo frog,"33534,33594",2,https://www.protocols.io/view/construction-and-sequencing-of-dna-libraries-on-hi-bc22iyge,5,Protocols for the draft genome assembly of the eastern banjo frog Limnodynastes dumerilii dumerilii,0.7205,0.6124,0.9827,1.0,1.0,0.5798,5,Construction and sequencing of DNA libraries on Hiseq 2000 platform for the eastern banjo frog
How can I standardize and validate macrophage-conditioned medium quality to optimize hybridoma cell survival and monoclonal antibody production using a bioassay?,29901420,"Macrophage-conditioned medium (MCM) is an important cell culture supplement used to support the survival and growth of newly fused hybridoma cells. The use of macrophage cells, as a part of hybridoma technology, has proven to be an effective and inexpensive source of growth factors that promote the early survival and growth of hybridoma cells. Despite the widespread use of MCM as a hybridoma culture supplement, there is limited guidance and standardization for MCM production to achieve optimal hybridoma support. As an undefined supplement, significant variations in production of MCM may negatively impact hybridoma cell survival and growth. The lack of an available method for standardization of MCM bioactivity has limited validation, optimization, and commercial production. Consequently, variations in batch production of MCM may result in low-quality MCM that limits hybridoma viability and negatively impacts monoclonal antibody production. In this report, we describe a novel bioassay based on the newly generated, MCM-dependent RMH359 hybridoma cell line that can be used to validate MCM bioactivity and standardize production. We demonstrate the utility of the RMH359 bioassay (1) for evaluating MCM hybridoma bioactivity, (2) to define optimal conditions for production of MCM, and (3) as a method for MCM validation and standardization. In conclusion, the RMH359 cell bioassay provides a specific and sensitive assessment of MCM bioactivity in support of hybridoma cell survival and growth.",Hybridoma Technology,201300,1,https://www.protocols.io/view/hybridoma-technology-ggtubtwnx,0,"The influence of murine macrophage-conditioned medium on cloning efficiency, antibody synthesis, and growth rate of hybridomas.",0.489,0.6438,0.6698,0.489,0.6438,0.6698,2,"The influence of murine macrophage-conditioned medium on cloning efficiency, antibody synthesis, and growth rate of hybridomas."
